Source Name,Site Name,Type of equipment,Type of Equipment Leak (L),Type of Pneumatic Controller (PC) (for cases where all PCs at site are either intermittent or low bleed),Mean of HighFlow measurements (scfm),Fraction of carbon in methane,Methane mole %,Mean methane (scfm),Whole gas (scfm)
PC-161,GC-16,PC,,int,0.751,0.569,7.5868E+01,0.427,0.563
PC-162,GC-17,PC,,int,0.771,0.960,9.6084E+01,0.740,0.771
PC-163,GC-17,PC,,int,0.470,0.960,9.6084E+01,0.451,0.470
L-119,GC-18,L,fuel gas gauge on fuel gas pot on product separator,,0.112,0.960,9.6084E+01,0.108,0.112
PC-164,GC-18,PC,,int,0.011,0.960,9.6084E+01,0.011,0.011
PC-165,GC-18,PC,,int,0.010,0.960,9.6084E+01,0.010,0.010
PC-166,GC-18,PC,,int,0.435,0.960,9.6084E+01,0.418,0.435
L-120,GC-19,L,Quick Exhaust Well Head 1,,0.016,0.957,9.5618E+01,0.015,0.016
L-121,GC-19,L,Stem in Kimray Valve Separator 5,,0.011,0.957,9.5618E+01,0.011,0.011
L-122,GC-19,L,Compression fitting flow sensor Separator 3,,0.032,0.957,9.5618E+01,0.031,0.032
PC-167,GC-19,PC,,int,1.103,0.957,9.5618E+01,1.055,1.103
PC-168,GC-19,PC,,int,1.354,0.957,9.5618E+01,1.295,1.355
PC-169,GC-19,PC,,int,0.704,0.957,9.5618E+01,0.673,0.704
PC-170,GC-19,PC,,int,0.353,0.957,9.5618E+01,0.338,0.353
PC-171,GC-19,PC,,int,0.137,0.957,9.5618E+01,0.131,0.137
PC-172,GC-19,PC,,int,0.199,0.957,9.5618E+01,0.190,0.199
T-20,GC-19,T,,,0.021,0.957,9.5618E+01,0.020,0.021
L-124,GC-20,L,small fitting/regulator at well head,,0.044,0.953,9.5221E+01,0.042,0.044
L-125,GC-20,L,"insulated regulator above pneumatic activator - ""not the pneumatic activator""",,0.024,0.953,9.5221E+01,0.023,0.024
PC-173,GC-21,PC,,int,0.023,0.959,9.5950E+01,0.022,0.023
CIP-1,GC-22,CIP,,,0.348,0.949,9.5025E+01,0.330,0.348
L-126,GC-22,L,Control Valve at Injection at Separator,,0.058,0.949,9.5025E+01,0.055,0.058
PC-174,GC-22,PC,,int,0.107,0.949,9.5025E+01,0.102,0.107
PC-175,GC-23,PC,,int,0.055,0.959,9.5950E+01,0.053,0.055
PC-176,GC-23,PC,,int,0.023,0.959,9.5950E+01,0.022,0.023
L-127,GC-24,L,Pressure regulator VRU Compressor,,0.189,0.475,7.1430E+01,0.090,0.126
CIP-2,GC-25,CIP,,,0.440,0.863,9.2711E+01,0.380,0.410
L-128,GC-25,L,Fitting on top of Drip Pot,,0.064,0.863,9.2711E+01,0.055,0.060
PC-177,GC-25,PC,,int,0.351,0.863,9.2711E+01,0.303,0.327
CIP-3,GC-26,CIP,,,0.339,0.610,8.0179E+01,0.207,0.258
L-129,GC-26,L,VRU Compressor back pressure regulator,,0.019,0.610,8.0179E+01,0.012,0.014
L-130,GC-26,L,pressure regulator on compressor deck,,0.216,0.610,8.0179E+01,0.132,0.164
L-131,GC-26,L,Pressure regulator weep hole bolt,,0.083,0.610,8.0179E+01,0.051,0.063
L-132,GC-26,L,pressure regulator weep hole,,0.015,0.610,8.0179E+01,0.009,0.011
L-133,GC-26,L,bolt at side of valve dual chamber orifice fitting,,0.037,0.610,8.0179E+01,0.023,0.028
L-134,GC-26,L,bot at side of v/w bottom dual chamber orifice fitting,,0.006,0.610,8.0179E+01,0.004,0.005
PC-178,GC-26,PC,,int,0.264,0.610,8.0179E+01,0.161,0.201
T-21,GC-26,T,,,0.244,0.610,8.0179E+01,0.149,0.186
CIP-4,GC-27,CIP,,,0.352,0.874,9.3063E+01,0.308,0.331
PC-179,GC-27,PC,,,0.216,0.874,9.3063E+01,0.189,0.203
PC-180,GC-27,PC,,,0.086,0.874,9.3063E+01,0.075,0.081
L-135,GC-28,L,Regulator Separator 4,,0.044,0.956,9.5473E+01,0.042,0.044
L-136,GC-28,L,Compression Fitting on Regulator Separator 2,,0.051,0.956,9.5473E+01,0.049,0.051
PC-181,GC-28,PC,,int,0.146,0.956,9.5473E+01,0.140,0.146
PC-182,GC-28,PC,,int,0.106,0.956,9.5473E+01,0.101,0.106
PC-183,GC-28,PC,,int,0.133,0.956,9.5473E+01,0.127,0.133
T-22,GC-28,T,,,0.086,0.956,9.5473E+01,0.082,0.086
T-23,GC-28,T,,,0.077,0.956,9.5473E+01,0.074,0.077
T-24,GC-28,T,,,0.049,0.956,9.5473E+01,0.047,0.049
T-25,GC-28,T,,,0.014,0.956,9.5473E+01,0.013,0.014
L-137,GC-29,L,Valve below PRV,,0.138,0.951,9.5048E+01,0.131,0.138
L-138,GC-29,L,Vent on Catalytic Heater,,0.176,0.951,9.5048E+01,0.167,0.176
L-139,GC-29,L,Elbow near regulator,,0.008,0.951,9.5048E+01,0.008,0.008
PC-184,GC-29,PC,,int,0.349,0.951,9.5048E+01,0.332,0.349
CIP-5,GC-30,CIP,,,0.683,0.959,9.5950E+01,0.655,0.683
CIP-6,GC-30,CIP,,,0.304,0.959,9.5950E+01,0.292,0.304
L-140,GC-30,L,Supply gas tubing to Well ESV Valve,,0.013,0.959,9.5950E+01,0.012,0.013
L-141,GC-30,L,Panel on pneumatic supply to ESD #1,,0.061,0.959,9.5950E+01,0.059,0.061
L-142,GC-30,L,Back pressure controller test separator,,0.264,0.959,9.5950E+01,0.253,0.264
PC-186,GC-30,PC,,int,0.054,0.959,9.5950E+01,0.052,0.054
PC-187,GC-31,PC,,int,0.095,0.634,8.1327E+01,0.060,0.074
CIP-7,GC-32,CIP,,,0.328,0.949,9.4982E+01,0.311,0.328
T-26,GC-32,T,,,0.061,0.949,9.4982E+01,0.058,0.061
CIP-8,GC-33,CIP,,,0.302,0.943,9.4448E+01,0.285,0.302
T-27,GC-33,T,,,0.074,0.943,9.4448E+01,0.070,0.074
PC-188,GC-34,PC,,int,0.433,0.959,9.5950E+01,0.415,0.433
PC-189,GC-34,PC,,int,0.538,0.959,9.5950E+01,0.516,0.538
CIP-10,GC-35,CIP,,,0.145,0.956,9.5587E+01,0.139,0.145
CIP-9,GC-35,CIP,,,2.102,0.956,9.5587E+01,2.009,2.102
PC-190,GC-35,PC,,int,0.549,0.956,9.5587E+01,0.525,0.549
PC-191,GC-36,PC,,int,0.529,0.949,9.4898E+01,0.502,0.529
L-143,GC-37,L,pressure regulator between he 2 header lines,,0.167,0.460,7.0442E+01,0.077,0.109
L-144,GC-37,L,Sales line of heater treater 1,,0.016,0.460,7.0442E+01,0.007,0.010
L-145,GC-37,L,Cane on top of VRU compressor ,,0.196,0.460,7.0442E+01,0.090,0.128
L-146,GC-37,L,Diaphragm on top of VRU compressor,,0.035,0.460,7.0442E+01,0.016,0.023
L-147,GC-37,L,Drain Box - FLIR Only,,0.000,0.460,7.0442E+01,0.000,0.000
PC-192,GC-37,PC,,int,0.000,0.460,7.0442E+01,0.000,0.000
PC-193,GC-37,PC,,int,0.031,0.460,7.0442E+01,0.014,0.020
T-28,GC-37,T,,,0.347,0.460,7.0442E+01,0.160,0.227
T-29,GC-37,T,,,0.000,0.460,7.0442E+01,0.000,0.000
PC-194,GC-38,PC,,int,0.208,0.959,9.5948E+01,0.200,0.208
PC-195,GC-38,PC,,int,0.002,0.959,9.5948E+01,0.002,0.002
CIP-11,GC-39,CIP,,,0.852,0.932,9.4325E+01,0.794,0.842
L-148,GC-39,L,Low pressure separator oil drum,,0.150,0.932,9.4325E+01,0.140,0.148
L-150,GC-40,L,Compression fitting at Well head,,0.084,0.951,9.5048E+01,0.080,0.084
PC-201,GC-40,PC,,int,0.544,0.951,9.5048E+01,0.517,0.544
CIP-12,GC-41,CIP,,,0.266,0.932,9.4325E+01,0.248,0.263
L-151,GC-41,L,Gauge on Heater Bypass,,0.127,0.932,9.4325E+01,0.118,0.125
PC-202,GC-41,PC,,int,2.269,0.932,9.4325E+01,2.115,2.242
PC-203,GC-42,PC,,int,0.921,0.959,9.5950E+01,0.883,0.921
PC-204,GC-43,PC,,int,0.252,0.932,9.4325E+01,0.235,0.249
T-30,GC-43,T,,,0.017,0.932,9.4325E+01,0.016,0.017
PC-205,GC-44,PC,,int,0.017,0.827,9.2189E+01,0.014,0.015
PC-206,GC-45,PC,,,0.182,0.789,8.9892E+01,0.144,0.160
PC-207,GC-45,PC,,,0.213,0.789,8.9892E+01,0.168,0.187
PC-208,GC-45,PC,,,0.040,0.789,8.9892E+01,0.032,0.035
PC-209,GC-45,PC,,,0.012,0.789,8.9892E+01,0.009,0.011
L-152,GC-46,L,Pneumatic Diaphragm on well head,,0.000,0.779,8.8969E+01,0.000,0.000
PC-210,GC-46,PC,,,0.394,0.779,8.8969E+01,0.307,0.345
PC-211,GC-46,PC,,,0.191,0.779,8.8969E+01,0.149,0.167
CIP-13,GC-47,CIP,,,0.835,0.842,9.1944E+01,0.703,0.765
PC-212,GC-47,PC,,,0.156,0.842,9.1944E+01,0.131,0.143
PC-213,GC-47,PC,,,0.150,0.842,9.1944E+01,0.126,0.137
L-153,GC-48,L,Weep Hole on Valve Housing at Well Head,,0.001,0.951,9.4690E+01,0.001,0.001
L-154,GC-48,L,Pressure Safety Valve,,0.313,0.951,9.4690E+01,0.298,0.314
PC-214,GC-48,PC,,int,0.199,0.951,9.4690E+01,0.189,0.200
CIP-14,GC-49,CIP,,,0.031,0.842,9.1944E+01,0.026,0.028
L-155,GC-49,L,Leaky Fitting on Supply Line,,0.847,0.842,9.1944E+01,0.713,0.776
PC-215,GC-49,PC,,,0.213,0.842,9.1944E+01,0.179,0.195
PC-216,GC-49,PC,,,0.037,0.842,9.1944E+01,0.031,0.034
PC-217,GC-49,PC,,,0.006,0.842,9.1944E+01,0.005,0.005
L-160,GC-50,L,Weep hole on valve housing well #1,,0.177,0.959,9.6829E+01,0.170,0.175
PC-218,GC-50,PC,,int,0.016,0.959,9.6829E+01,0.015,0.016
PC-219,GC-50,PC,,int,0.064,0.959,9.6829E+01,0.061,0.063
T-31,GC-50,T,,,0.208,0.959,9.6829E+01,0.199,0.206
CIP-15,GC-51,CIP,,,0.704,0.843,9.2023E+01,0.593,0.645
PC-220,GC-51,PC,,int,0.558,0.843,9.2023E+01,0.470,0.511
CIP-16,GC-52,CIP,,,0.349,0.951,9.5048E+01,0.332,0.349
CIP-17,GC-52,CIP,,,0.066,0.951,9.5048E+01,0.063,0.066
CIP-18,GC-52,CIP,,,0.218,0.951,9.5048E+01,0.207,0.218
PC-221,GC-52,PC,,,0.599,0.951,9.5048E+01,0.570,0.599
PC-222,GC-52,PC,,,0.410,0.951,9.5048E+01,0.390,0.410
PC-223,GC-52,PC,,,0.234,0.951,9.5048E+01,0.223,0.234
PC-224,GC-53,PC,,,1.570,0.959,9.5950E+01,1.506,1.569
L-161,GC-54,L,Siemens control valve on sales line,,0.055,0.663,8.2730E+01,0.036,0.044
PC-225,GC-54,PC,,int,0.069,0.663,8.2730E+01,0.046,0.055
PC-226,GC-54,PC,,int,0.005,0.663,8.2730E+01,0.003,0.004
PC-227,GC-54,PC,,int,0.113,0.663,8.2730E+01,0.075,0.091
PC-228,GC-55,PC,,int,0.218,0.950,9.4968E+01,0.207,0.218
PC-229,GC-55,PC,,int,0.102,0.950,9.4968E+01,0.097,0.102
PC-230,GC-55,PC,,int,0.140,0.950,9.4968E+01,0.133,0.140
PC-231,GC-55,PC,,int,0.161,0.950,9.4968E+01,0.153,0.161
L-162,GC-56,L,Connection at Well Head,,0.048,0.963,9.6632E+01,0.046,0.048
PC-232,GC-56,PC,,int,0.008,0.963,9.6632E+01,0.008,0.008
L-163,GC-57,L,check valve on well head 154,,0.006,0.955,9.5338E+01,0.006,0.006
L-164,GC-57,L,pot top #3 separator,,0.253,0.955,9.5338E+01,0.242,0.253
L-165,GC-57,L,pot top #2 separator,,0.063,0.955,9.5338E+01,0.060,0.063
PC-233,GC-57,PC,,int,0.465,0.955,9.5338E+01,0.444,0.466
T-32,GC-57,T,,,0.093,0.955,9.5338E+01,0.089,0.093
T-33,GC-57,T,,,0.018,0.955,9.5338E+01,0.017,0.018
CIP-19,GC-58,CIP,,,1.430,0.932,9.4325E+01,1.333,1.413
CIP-20,GC-58,CIP,,,0.536,0.932,9.4325E+01,0.500,0.530
L-166,GC-58,L,Big Joe Regulator at Separator,,0.046,0.932,9.4325E+01,0.043,0.045
PC-234,GC-58,PC,,int,0.005,0.932,9.4325E+01,0.005,0.005
CIP-22,MC-1,CIP,,,0.004,0.516,7.0891E+01,0.002,0.003
L-170,MC-1,L,piping insulation on 2H separator,,0.040,0.516,7.0891E+01,0.021,0.029
L-171,MC-1,L,piping insulation on valve on 2H separator,,0.024,0.516,7.0891E+01,0.012,0.017
L-172,MC-1,L,regulator on compressor #1,,0.384,0.516,7.0891E+01,0.198,0.279
L-189,MC-2,L,ESD Valve Well 2,,0.016,0.945,9.5551E+01,0.015,0.016
L-202,MC-3,L,Separator 4; flange sales line meter run,,0.006,0.946,9.5266E+01,0.006,0.006
L-203,MC-3,L,Well 5 chemical inject valve assembly,,0.190,0.946,9.5266E+01,0.180,0.189
T-60,MC-3,T,,,0.015,0.946,9.5266E+01,0.014,0.015
CIP-52,MC-4,CIP,,,0.229,0.897,9.3479E+01,0.205,0.220
CIP-53,MC-4,CIP,,,0.073,0.897,9.3479E+01,0.065,0.070
CIP-54,MC-4,CIP,,,0.031,0.897,9.3479E+01,0.028,0.030
CIP-55,MC-4,CIP,,,0.047,0.897,9.3479E+01,0.042,0.045
CIP-56,MC-4,CIP,,,0.106,0.897,9.3479E+01,0.095,0.102
CIP-57,MC-4,CIP,,,0.064,0.897,9.3479E+01,0.057,0.061
L-204,MC-4,L,Tubing Leak Pneumatic Separator 11-H,,0.054,0.897,9.3479E+01,0.048,0.052
L-205,MC-4,L,Fitting Leak Separator 11-H,,0.104,0.897,9.3479E+01,0.093,0.100
L-206,MC-4,L,Tubing Fitting Separator 14H,,0.085,0.897,9.3479E+01,0.076,0.082
L-207,MC-4,L,Tubing Leak Separator 5H,,0.044,0.897,9.3479E+01,0.039,0.042
L-208,MC-4,L,Tubing Fitting Separator 8H,,0.065,0.897,9.3479E+01,0.058,0.062
L-209,MC-4,L,Tubing Fitting Separator 4H,,0.135,0.897,9.3479E+01,0.121,0.130
L-210,MC-4,L,Tubing Fitting Separator 3H,,0.007,0.897,9.3479E+01,0.006,0.007
L-211,MC-4,L,Tubing Fitting Separator 1H,,0.001,0.897,9.3479E+01,0.001,0.001
PC-278,MC-4,PC,,low,0.032,0.897,9.3479E+01,0.029,0.031
PC-279,MC-4,PC,,low,0.061,0.897,9.3479E+01,0.055,0.059
PC-280,MC-4,PC,,low,0.057,0.897,9.3479E+01,0.051,0.055
T-61,MC-4,T,,,0.174,0.897,9.3479E+01,0.156,0.167
T-62,MC-4,T,,,0.064,0.897,9.3479E+01,0.057,0.061
T-63,MC-4,T,,,0.053,0.897,9.3479E+01,0.048,0.051
T-64,MC-4,T,,,0.034,0.897,9.3479E+01,0.031,0.033
T-65,MC-4,T,,,0.109,0.897,9.3479E+01,0.098,0.105
L-212,MC-5,L,Fitting on Well Head,,0.216,0.576,7.4234E+01,0.124,0.168
L-213,MC-5,L,line at base of compressor 53312,,0.225,0.576,7.4234E+01,0.130,0.175
L-214,MC-5,L,line at base of compressor 53313,,0.130,0.576,7.4234E+01,0.075,0.101
PC-281,MC-5,PC,,int,0.063,0.576,7.4234E+01,0.036,0.049
PC-282,MC-5,PC,,int,0.128,0.576,7.4234E+01,0.074,0.099
T-66,MC-5,T,,,0.355,0.576,7.4234E+01,0.205,0.275
L-215,MC-6,L,vertical vent on separator a009522-5,,0.000,0.615,7.6895E+01,0.000,0.000
T-67,MC-6,T,,,0.000,0.615,7.6895E+01,0.000,0.000
T-68,MC-6,T,,,0.000,0.615,7.6895E+01,0.000,0.000
CIP-58,MC-7,CIP,,,0.038,0.961,9.5874E+01,0.037,0.038
PC-283,MC-7,PC,,low,0.089,0.961,9.5874E+01,0.085,0.089
CIP-59,MC-8,CIP,,,0.042,0.952,9.5573E+01,0.040,0.042
CIP-60,MC-8,CIP,,,0.048,0.952,9.5573E+01,0.046,0.048
CIP-61,MC-8,CIP,,,0.068,0.952,9.5573E+01,0.065,0.068
CIP-62,MC-8,CIP,,,0.028,0.952,9.5573E+01,0.027,0.028
L-216,MC-8,L,Pressure Regulator Well Head B1H,,0.038,0.952,9.5573E+01,0.036,0.038
L-217,MC-8,L,Pressure Regulator Well Head B3H,,0.043,0.952,9.5573E+01,0.041,0.043
PC-284,MC-8,PC,,low,0.133,0.952,9.5573E+01,0.127,0.132
PC-285,MC-8,PC,,low,0.354,0.952,9.5573E+01,0.337,0.353
PC-286,MC-8,PC,,low,0.000,0.952,9.5573E+01,0.000,0.000
L-218,MC-9,L,Solenoid relief SS tube Separator 8,,0.356,0.942,9.5308E+01,0.335,0.352
L-219,MC-9,L,Solenoid relief SS tube Separator 7,,0.000,0.942,9.5308E+01,0.000,0.000
PC-287,MC-9,PC,,int,0.379,0.942,9.5308E+01,0.357,0.374
PC-288,MC-9,PC,,int,0.048,0.942,9.5308E+01,0.045,0.047
PC-289,MC-9,PC,,int,0.532,0.942,9.5308E+01,0.501,0.526
PC-290,MC-9,PC,,int,0.092,0.942,9.5308E+01,0.087,0.091
CIP-23,MC-10,CIP,,,0.008,0.952,9.5721E+01,0.008,0.008
CIP-24,MC-10,CIP,,,0.017,0.952,9.5721E+01,0.016,0.017
CIP-25,MC-10,CIP,,,0.021,0.952,9.5721E+01,0.020,0.021
PC-240,MC-10,PC,,low,0.039,0.952,9.5721E+01,0.037,0.039
PC-241,MC-10,PC,,low,0.040,0.952,9.5721E+01,0.038,0.040
PC-242,MC-10,PC,,low,0.062,0.952,9.5721E+01,0.059,0.062
T-34,MC-10,T,,,0.045,0.952,9.5721E+01,0.043,0.045
CIP-26,MC-11,CIP,,,0.016,0.954,9.5453E+01,0.015,0.016
CIP-27,MC-11,CIP,,,0.026,0.954,9.5453E+01,0.025,0.026
CIP-28,MC-11,CIP,,,0.025,0.954,9.5453E+01,0.024,0.025
CIP-29,MC-11,CIP,,,0.160,0.954,9.5453E+01,0.153,0.160
CIP-30,MC-11,CIP,,,0.029,0.954,9.5453E+01,0.028,0.029
L-173,MC-11,L,Emergency shutoff on separator A11H,,1.019,0.954,9.5453E+01,0.972,1.018
PC-243,MC-11,PC,,low,0.146,0.954,9.5453E+01,0.139,0.146
PC-244,MC-11,PC,,low,0.182,0.954,9.5453E+01,0.174,0.182
PC-245,MC-11,PC,,low,0.020,0.954,9.5453E+01,0.019,0.020
T-35,MC-11,T,,,0.006,0.954,9.5453E+01,0.006,0.006
T-36,MC-11,T,,,0.203,0.954,9.5453E+01,0.194,0.203
L-174,MC-12,L,Fitting on separator IL-953-0301,,0.013,0.524,7.1813E+01,0.007,0.009
PC-246,MC-13,PC,,int,1.922,0.948,9.5907E+01,1.822,1.900
L-175,MC-14,L,connection to sight gauge on separator,,0.000,0.623,7.8074E+01,0.000,0.000
L-176,MC-14,L,compressor regulator #1,,0.000,0.623,7.8074E+01,0.000,0.000
L-177,MC-14,L,compressor regulator #2,,0.020,0.623,7.8074E+01,0.012,0.016
PC-247,MC-14,PC,,int,0.054,0.623,7.8074E+01,0.034,0.043
PC-248,MC-14,PC,,int,0.104,0.623,7.8074E+01,0.065,0.083
PC-249,MC-14,PC,,int,0.362,0.623,7.8074E+01,0.225,0.289
T-37,MC-14,T,,,0.341,0.623,7.8074E+01,0.212,0.272
CIP-31,MC-15,CIP,,,0.008,0.819,8.9764E+01,0.007,0.007
L-178,MC-15,L,nut on pipeline valve,,0.006,0.819,8.9764E+01,0.005,0.005
PC-250,MC-15,PC,,,0.048,0.819,8.9764E+01,0.039,0.044
PC-251,MC-15,PC,,,0.142,0.819,8.9764E+01,0.116,0.130
T-38,MC-15,T,,,0.052,0.819,8.9764E+01,0.043,0.047
T-39,MC-15,T,,,0.242,0.819,8.9764E+01,0.198,0.221
L-179,MC-16,L,Union on 3/8 line at Well Head,,0.052,0.637,7.9322E+01,0.033,0.042
L-180,MC-16,L,Upper Valve Vertical Separator Sight Glass,,0.062,0.637,7.9322E+01,0.039,0.050
L-181,MC-16,L,Lower Valve Vertical Separator Sight Glass,,0.009,0.637,7.9322E+01,0.006,0.007
L-182,MC-16,L,Fitting in Horizontal Scrubber 1H,,0.013,0.637,7.9322E+01,0.008,0.010
L-183,MC-16,L,Drain Tube into compressor sump. 1445,,0.286,0.637,7.9322E+01,0.182,0.230
L-184,MC-16,L,Purge Valve (?) on compressor 1445,,0.107,0.637,7.9322E+01,0.068,0.086
PC-252,MC-16,PC,,int,0.189,0.637,7.9322E+01,0.120,0.152
PC-253,MC-16,PC,,int,0.301,0.637,7.9322E+01,0.192,0.242
PC-254,MC-16,PC,,int,0.261,0.637,7.9322E+01,0.166,0.210
PC-255,MC-16,PC,,int,0.204,0.637,7.9322E+01,0.130,0.164
PC-256,MC-16,PC,,int,0.134,0.637,7.9322E+01,0.085,0.108
PC-257,MC-16,PC,,int,0.017,0.637,7.9322E+01,0.011,0.014
T-40,MC-16,T,,,0.011,0.637,7.9322E+01,0.007,0.009
T-41,MC-16,T,,,0.335,0.637,7.9322E+01,0.213,0.269
T-42,MC-16,T,,,0.035,0.637,7.9322E+01,0.022,0.028
T-43,MC-16,T,,,0.136,0.637,7.9322E+01,0.087,0.109
T-44,MC-16,T,,,0.179,0.637,7.9322E+01,0.114,0.144
CIP-32,MC-17,CIP,,,0.039,0.952,9.5573E+01,0.037,0.039
CIP-33,MC-17,CIP,,,0.055,0.952,9.5573E+01,0.052,0.055
CIP-34,MC-17,CIP,,,0.035,0.952,9.5573E+01,0.033,0.035
CIP-35,MC-17,CIP,,,0.034,0.952,9.5573E+01,0.032,0.034
CIP-36,MC-17,CIP,,,0.045,0.952,9.5573E+01,0.043,0.045
L-185,MC-17,L,Plunger Activator Well Head C3H,,0.089,0.952,9.5573E+01,0.085,0.089
L-186,MC-17,L,pressure regulator separator C3H,,0.022,0.952,9.5573E+01,0.021,0.022
L-187,MC-17,L,Connector on dump valve separator C5H,,0.027,0.952,9.5573E+01,0.026,0.027
PC-258,MC-17,PC,,low,0.007,0.952,9.5573E+01,0.007,0.007
PC-259,MC-17,PC,,low,0.762,0.952,9.5573E+01,0.725,0.759
T-45,MC-17,T,,,0.132,0.952,9.5573E+01,0.126,0.131
T-46,MC-17,T,,,0.767,0.952,9.5573E+01,0.730,0.764
T-47,MC-17,T,,,0.857,0.952,9.5573E+01,0.816,0.853
T-48,MC-17,T,,,0.087,0.952,9.5573E+01,0.083,0.087
T-49,MC-17,T,,,0.727,0.952,9.5573E+01,0.692,0.724
CIP-37,MC-18,CIP,,,0.039,0.944,9.5602E+01,0.037,0.039
CIP-38,MC-18,CIP,,,0.039,0.944,9.5602E+01,0.037,0.039
CIP-39,MC-19,CIP,,,0.039,0.942,9.5229E+01,0.037,0.039
CIP-40,MC-19,CIP,,,0.061,0.942,9.5229E+01,0.057,0.060
CIP-41,MC-19,CIP,,,0.058,0.942,9.5229E+01,0.055,0.057
CIP-42,MC-19,CIP,,,0.149,0.942,9.5229E+01,0.140,0.147
CIP-43,MC-19,CIP,,,0.048,0.942,9.5229E+01,0.045,0.047
L-188,MC-19,L,Pressure Relief on A1H Well Head,,0.000,0.942,9.5229E+01,0.000,0.000
PC-260,MC-19,PC,,low,0.391,0.942,9.5229E+01,0.368,0.387
PC-261,MC-19,PC,,low,0.032,0.942,9.5229E+01,0.030,0.032
L-190,MC-20,L,valve near site glass separator 3H,,0.000,0.614,7.7190E+01,0.000,0.000
L-191,MC-20,L,pressure regulator between separators 2H and 3H,,0.133,0.614,7.7190E+01,0.082,0.106
L-192,MC-20,L,Hole in compressor plate compressor #2,,0.170,0.614,7.7190E+01,0.104,0.135
L-193,MC-20,L,Hole in compressor plate compressor #3,,0.172,0.614,7.7190E+01,0.106,0.137
PC-262,MC-20,PC,,int,0.312,0.614,7.7190E+01,0.192,0.248
PC-263,MC-20,PC,,int,0.117,0.614,7.7190E+01,0.072,0.093
PC-264,MC-20,PC,,int,0.021,0.614,7.7190E+01,0.013,0.017
PC-265,MC-20,PC,,int,0.260,0.614,7.7190E+01,0.160,0.207
T-50,MC-20,T,,,0.127,0.614,7.7190E+01,0.078,0.101
L-194,MC-21,L,Back pressure regulator inlet on 2H horizontal separator,,0.010,0.634,8.0247E+01,0.006,0.008
L-195,MC-21,L,field purge vent compressor 11-1498,,0.114,0.634,8.0247E+01,0.072,0.090
L-196,MC-21,L,field purge vent compressor 11-1497,,0.220,0.634,8.0247E+01,0.139,0.174
L-197,MC-21,L,field purge vent compressor 11-1499,,0.158,0.634,8.0247E+01,0.100,0.125
L-198,MC-21,L,purge tank top compressor 11-1499,,0.153,0.634,8.0247E+01,0.097,0.121
PC-266,MC-21,PC,,int,0.029,0.634,8.0247E+01,0.018,0.023
PC-267,MC-21,PC,,int,0.018,0.634,8.0247E+01,0.011,0.014
PC-268,MC-21,PC,,int,0.076,0.634,8.0247E+01,0.048,0.060
PC-269,MC-21,PC,,int,0.000,0.634,8.0247E+01,0.000,0.000
PC-270,MC-21,PC,,int,0.066,0.634,8.0247E+01,0.042,0.052
T-51,MC-21,T,,,0.028,0.634,8.0247E+01,0.018,0.022
T-52,MC-21,T,,,0.129,0.634,8.0247E+01,0.082,0.102
T-53,MC-21,T,,,0.317,0.634,8.0247E+01,0.201,0.250
CIP-44,MC-22,CIP,,,0.130,0.950,9.5642E+01,0.123,0.129
CIP-45,MC-22,CIP,,,0.017,0.950,9.5642E+01,0.016,0.017
CIP-46,MC-22,CIP,,,0.007,0.950,9.5642E+01,0.007,0.007
L-199,MC-22,L,regulator for valve on plunger lift,,0.128,0.950,9.5642E+01,0.122,0.127
L-200,MC-22,L,regulator for pneumatic control on the separator for Lowery 1H,,0.070,0.950,9.5642E+01,0.066,0.070
PC-271,MC-22,PC,,low,0.930,0.950,9.5642E+01,0.883,0.924
T-54,MC-22,T,,,0.029,0.950,9.5642E+01,0.028,0.029
T-55,MC-22,T,,,0.000,0.950,9.5642E+01,0.000,0.000
PC-272,MC-23,PC,,low,0.052,0.958,9.5871E+01,0.050,0.052
PC-273,MC-23,PC,,low,0.033,0.958,9.5871E+01,0.032,0.033
PC-274,MC-23,PC,,low,0.017,0.958,9.5871E+01,0.016,0.017
PC-275,MC-23,PC,,low,0.003,0.958,9.5871E+01,0.003,0.003
PC-276,MC-23,PC,,low,0.036,0.958,9.5871E+01,0.034,0.036
T-56,MC-23,T,,,0.241,0.958,9.5871E+01,0.231,0.241
T-57,MC-24,T,,,0.000,0.946,9.5266E+01,0.000,0.000
CIP-47,MC-25,CIP,,,0.075,0.957,9.5821E+01,0.072,0.075
CIP-48,MC-25,CIP,,,0.024,0.957,9.5821E+01,0.023,0.024
CIP-49,MC-25,CIP,,,0.041,0.957,9.5821E+01,0.039,0.041
CIP-50,MC-25,CIP,,,0.040,0.957,9.5821E+01,0.038,0.040
L-201,MC-25,L,Gas regulator inlet of compressor to sales,,0.110,0.957,9.5821E+01,0.105,0.110
PC-277,MC-25,PC,,low,0.026,0.957,9.5821E+01,0.025,0.026
T-58,MC-25,T,,,0.861,0.957,9.5821E+01,0.824,0.860
T-59,MC-25,T,,,1.410,0.957,9.5821E+01,1.350,1.409
CIP-51,MC-26,CIP,,,0.015,0.948,9.5508E+01,0.014,0.015
L-220,RM-1,L,Thermostat,,0.138,0.564,7.6427E+01,0.078,0.102
L-221,RM-1,L,Piping union into flare,,0.000,0.564,7.6427E+01,0.000,0.000
L-222,RM-1,L,Vent Hole on well head control box,,0.017,0.564,7.6427E+01,0.010,0.013
